Épreuve;Place;Nom/Prénom;Année;Catégorie;Club;Temps;Statut/Remarque
"50m Bipalmes Seniors Femmes - Séries";15;"BOUTOUILLER Florie";05;FSE;*PEC;24.55;"(en finale)"
"50m Bipalmes Seniors Femmes - Séries";22;"KERJEAN Eloise";10;FJU;*PEC;26.19;
"50m Bipalmes Seniors Femmes - Séries";35;"LEBEE Garance";12;FCA;*PEC;27.86;
"50m Bipalmes Seniors Hommes - Séries";12;"TORC'H Killian";03;HSE;*PEC;21.78;"(en finale)"
"50m Bipalmes Seniors Hommes - Séries";19;"SOLLAZZO Luca";11;HCA;*PEC;22.43;
"50m Bipalmes Seniors Hommes - Séries";28;"FRANCES Mathis";06;HSE;*PEC;23.67;
"50m Bipalmes Seniors Hommes - Séries";32;"VIGOUROUX Nevis";11;HCA;*PEC;25.04;
"50m Bipalmes Seniors Hommes - Séries";35;"LE POGAM Maxime";12;HCA;*PEC;27.90;
"400m Surface Seniors Femmes - Séries";26;"ROZE Emma";11;FCA;*PEC;4:49.30;
"100m Immersion Seniors Femmes - Séries";31;"LEBEE Garance";12;FCA;*PEC;58.19;
"100m Immersion Seniors Hommes - Séries";23;"LE POGAM Maxime";12;HCA;*PEC;1:07.59;
